Code;Count;Artists
AL;2;YBN Nahmir,Walker Hayes
CA;12;Maroon 5,G-Eazy,Kesha,Kendrick Lamar,Hailee Steinfeld,Miguel,Brett Young,Lil Xan,Tay-K,Becky G,Jauz,Calvin Harris
DC;1;Tank
FL;4;Lil Pump,Cardi B,blackbear,XXXTENTACION
GA;7;21 Savage,Gucci Mane,Migos,Khalid,Offset,Luke Bryan,Young Thug
HI;1;Bruno Mars
IL;1;Famous Dex
KY;1;Chris Stapleton
LA;2;YoungBoy Never Broke Again,Tim McGraw
MD;1;Logic
MI;1;NF
MO;3;SZA,Eminem,Chris Janson
NC;1;Luke Combs
NJ;2;Charlie Puth,Halsey
NM;1;Demi Lovato
NV;1;Imagine Dragons
NY;7;Post Malone,Halsey,6ix9ine,Bebe Rexha,A$AP Ferg,MAX,Lil Peep
OH;1;Machine Gun Kelly
OK;1;Bobby Pinson
OR;1;Portugal. The Man
PA;3;Taylor Swift,P!nk,Lil Uzi Vert
TN;8;Yo Gotti,LANCO,Blake Shelton,Eric Church,Russell Dickerson,Chris Young,Carly Pearce,Old Dominion
TX;3;Selena Gomez,Kelly Clarkson,Maren Morris
VA;2;Chris Brown,N.E.R.D
WA;1;Macklemore
