Acousticness,Artist,Danceability,Duration,Energy,ID,Instrumentalness,Key,Liveness,Loudness,Mode,Speechiness,Tempo,Title,Valence
0.128,Post Malone,0.58,218320,0.531,1OmcAT5Y8eg5bUPv9qJT4R,1.27E-4,5,0.143,-6.631,0,0.0776,159.786,Rockstar,0.141
0.186,Camila Cabello,0.768,216897,0.517,0ofbQMrRDsUaVKq2mGLEAb,3.8E-5,7,0.104,-4.323,0,0.0312,104.992,Havana,0.418
0.247,Lil Pump,0.95,124056,0.533,6foxplXS0YEq8cO374Lty4,0.0,5,0.114,-7.022,1,0.148,119.869,Gucci Gang,0.675
0.00782,Imagine Dragons,0.604,187147,0.826,5VnDkUNyX6u5Sk0yZiP8XB,0.15,0,0.154,-4.804,1,0.0434,167.985,Thunder,0.241
0.163,Ed Sheeran,0.599,263400,0.448,0tgVpDi06FyKpA1z0VMD4v,0.0,8,0.106,-6.312,1,0.0232,95.05,Perfect,0.168
0.0606,2017 Dynamo Hitz,0.813,220395,0.574,3g2qgbWPl8TcgJIkstWpSV,0.0,9,0.428,-9.401,1,0.0577,124.982,Bodak Yellow (Money Moves),0.546
0.615,Sam Smith,0.661,201000,0.373,3VlbOrM6nYPprVvzBZllE5,0.0,5,0.177,-8.249,1,0.0505,91.5,Too Good At Goodbyes,0.523
0.0417,Portugal. The Man,0.801,163253,0.795,6QgjcU0zLnzq5OrUoSZ3OK,1.13E-4,1,0.0717,-5.115,0,0.0504,79.028,Feel It Still,0.754
0.0223,Demi Lovato,0.702,203760,0.635,3Du2K5dLzmduCNp6uwuaL0,0.0,11,0.283,-6.917,0,0.265,144.004,Sorry Not Sorry,0.873
0.0805,Maroon 5,0.792,199849,0.612,4nYsmWkuTaowTMy4gskmBw,3.83E-6,5,0.0852,-5.212,0,0.0693,109.959,What Lovers Do,0.42
0.0117,G-Eazy,0.838,245387,0.771,2Xqd0wUttjueBfdcltADOv,0.0,1,0.0853,-3.791,1,0.244,175.957,No Limit,0.405
0.0164,J Balvin,0.535,189440,0.678,4ipnJyDU3Lq15qBAYNqlqK,1.31E-5,11,0.128,-4.906,0,0.0998,102.681,Mi Gente,0.287
0.57,Logic,0.629,250173,0.572,5tz69p7tJuGPeMGwNTxYuV,0.0,5,0.192,-7.733,0,0.0387,100.015,1-800-273-8255,0.386
0.06,Halsey,0.675,181279,0.736,7y9iMe8SOB6z3NoHE2OfXl,0.0,0,0.0879,-3.604,1,0.0302,118.369,Bad At Love,0.607
0.0151,21 Savage,0.884,220307,0.346,2fQrGHiQOvpL9UgPvtYy6G,7.04E-6,8,0.0871,-8.228,0,0.351,75.016,Bank Account,0.376
