ID,Title,Artist,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Duration
1OmcAT5Y8eg5bUPv9qJT4R,"rockstar
",Post Malone,0.58,0.531,5,-6.631,0,0.0776,0.128,0.000127,0.143,0.141,159.786,218320
0ofbQMrRDsUaVKq2mGLEAb,"Havana
",Camila Cabello,0.768,0.517,7,-4.323,0,0.0312,0.186,3.8e-05,0.104,0.418,104.992,216897
6tF92PMv01Ug9Dh8Rmy6nH,"New Rules
",Dua Lipa,0.756,0.682,9,-6.577,0,0.0753,0.00274,8.85e-06,0.147,0.589,116.008,209333
0tBbt8CrmxbjRP0pueQkyU,"Wolves
",Selena Gomez,0.72,0.807,11,-4.59,0,0.0432,0.129,0,0.183,0.305,124.946,197993
0tgVpDi06FyKpA1z0VMD4v,"Perfect
",Ed Sheeran,0.599,0.448,8,-6.312,1,0.0232,0.163,0,0.106,0.168,95.05,263400
6foxplXS0YEq8cO374Lty4,"Gucci Gang
",Lil Pump,0.95,0.533,5,-7.022,1,0.148,0.247,0,0.114,0.675,119.869,124056
3VlbOrM6nYPprVvzBZllE5,"Too Good At Goodbyes
",Sam Smith,0.661,0.373,5,-8.249,1,0.0505,0.615,0,0.177,0.523,91.5,201000
4nYsmWkuTaowTMy4gskmBw,"What Lovers Do
",Maroon 5,0.792,0.612,5,-5.212,0,0.0693,0.0805,3.83e-06,0.0852,0.42,109.959,199849
52okn5MNA47tk87PeZJLEL,"Let You Down
",NF,0.656,0.721,5,-5.665,0,0.122,0.298,0,0.173,0.468,148.066,212120
7vGuf3Y35N4wmASOKLUVVU,"Silence
",Marshmello,0.52,0.761,4,-3.093,1,0.0853,0.256,4.96e-06,0.17,0.286,141.971,180823
1j4kHkkpqZRBwE0A4CN4Yv,"Dusk Till Dawn
",ZAYN,0.258,0.437,11,-6.593,0,0.039,0.101,1.27e-06,0.106,0.0967,180.043,239000
75ZvA4QfFiZvzhj2xkaWAh,"I Fall Apart
",Post Malone,0.573,0.543,8,-5.357,0,0.0398,0.0777,0,0.199,0.308,143.916,223347
